Organisation,ObservedProperty,labMcode,DataType
TERN_Surveillance,collected_by,s_desc_by,M
TERN_Surveillance,colour_when_dry,col_hue_val_chrom,M
TERN_Surveillance,colour_when_moist,col_hue_val_chrom,M
TERN_Surveillance,ec,3A1,L
TERN_Surveillance,effervescence,NA,
TERN_Surveillance,horizon,h_desig_master,M
TERN_Surveillance,layer_barcode,NA,
TERN_Surveillance,mottles_abundance,mott_abun,M
TERN_Surveillance,mottles_colour,mott_colour,M
TERN_Surveillance,mottles_size,mott_size,M
TERN_Surveillance,next_size_1,NA,
TERN_Surveillance,next_size_2,NA,
TERN_Surveillance,next_size_type_1,NA,
TERN_Surveillance,next_size_type_2,NA,
TERN_Surveillance,pedality_fabric,fab_type,M
TERN_Surveillance,pedality_grade,str_ped_grade,M
TERN_Surveillance,ph,4A1,L
TERN_Surveillance,segregations_abundance,seg_abun,M
TERN_Surveillance,segregations_form,seg_form,M
TERN_Surveillance,segregations_nature,seg_nature,M
TERN_Surveillance,segregations_size,seg_size,M
TERN_Surveillance,smallest_size_1,NA,
TERN_Surveillance,smallest_size_2,NA,
TERN_Surveillance,smallest_size_type_1,NA,
TERN_Surveillance,smallest_size_type_2,NA,
TERN_Surveillance,texture_grade,h_texture,M
TERN_Surveillance,texture_modifier,NA,
TERN_Surveillance,texture_qualifier,h_texture_qual,M
